tool_name,criteria_id,criteria_name,score,max_score,score_percentage,review_count,source_weight,detailed_breakdown
Obsidian,ease_of_use,Facilidade de Uso,6.2,10.0,62.0,1200,1.0,"Interface complexa, mas poderosa. Curva aprendizado íngreme."
Obsidian,features,Funcionalidades,9.1,10.0,91.0,1500,1.0,"Recursos extremamente avançados, plugins, customização total."
Obsidian,collaboration,Colaboração,4.3,10.0,43.0,800,0.8,"Colaboração limitada, foco individual."
Obsidian,performance,Performance,8.7,10.0,87.0,1100,1.0,"Rápido, estável, trabalha offline."
Obsidian,price_value,Preço/Valor,9.5,10.0,95.0,2000,1.0,"Gratuito para uso pessoal, excelente custo-benefício."
Obsidian,mobile_experience,Experiência Mobile,7.1,10.0,71.0,900,0.9,"App mobile em desenvolvimento, funcionalidades básicas."
Obsidian,data_organization,Organização de Dados,9.3,10.0,93.0,1300,1.0,"Sistema de links bidirecional, organização avançada."
Notion,ease_of_use,Facilidade de Uso,7.8,10.0,78.0,3500,1.0,"Interface intuitiva, mas recursos avançados complexos."
Notion,features,Funcionalidades,9.4,10.0,94.0,4000,1.0,"All-in-one, databases, templates, automações."
Notion,collaboration,Colaboração,9.2,10.0,92.0,3200,1.0,"Colaboração em tempo real, controle de acesso robusto."
Notion,performance,Performance,6.8,10.0,68.0,2800,1.0,"Pode ser lento com muitos dados, dependente de conexão."
Notion,price_value,Preço/Valor,7.5,10.0,75.0,2500,1.0,"Plano gratuito bom, pode ficar caro para times grandes."
Notion,mobile_experience,Experiência Mobile,8.2,10.0,82.0,2100,1.0,"App mobile completo, boa sincronização."
Notion,data_organization,Organização de Dados,8.9,10.0,89.0,3100,1.0,"Databases relacionais, organização flexível."
Google Keep,ease_of_use,Facilidade de Uso,9.3,10.0,93.0,5000,1.0,"Extremamente simples, interface intuitiva."
Google Keep,features,Funcionalidades,5.2,10.0,52.0,4200,1.0,"Recursos básicos, OCR, lembretes por localização."
Google Keep,collaboration,Colaboração,6.7,10.0,67.0,2800,1.0,"Compartilhamento simples, sem controle avançado."
Google Keep,performance,Performance,9.1,10.0,91.0,4800,1.0,"Muito rápido, sincronização instantânea."
Google Keep,price_value,Preço/Valor,10.0,10.0,100.0,6000,1.0,"Completamente gratuito, sem limitações significativas."
Google Keep,mobile_experience,Experiência Mobile,9.4,10.0,94.0,4500,1.0,"Excelente app mobile, integração com Android."
Google Keep,data_organization,Organização de Dados,4.8,10.0,48.0,3500,1.0,"Organização básica, sistema de cores e labels."
Roam Research,ease_of_use,Facilidade de Uso,4.9,10.0,49.0,600,0.6,"Interface complexa, curva de aprendizado muito íngreme."
Roam Research,features,Funcionalidades,8.8,10.0,88.0,800,0.8,"Sistema único de pensamento em rede, queries avançadas."
Roam Research,collaboration,Colaboração,5.4,10.0,54.0,400,0.4,Recursos básicos de colaboração.
Roam Research,performance,Performance,6.3,10.0,63.0,500,0.5,"Performance inconsistente, pode ser lento."
Roam Research,price_value,Preço/Valor,4.2,10.0,42.0,700,0.7,"Caro ($15/mês), sem opção gratuita."
Roam Research,mobile_experience,Experiência Mobile,5.8,10.0,58.0,350,0.35,"App mobile limitado, melhor no desktop."
Roam Research,data_organization,Organização de Dados,9.6,10.0,96.0,750,0.75,Sistema revolucionário de organização por conexões.
Evernote,ease_of_use,Facilidade de Uso,7.2,10.0,72.0,2800,1.0,"Interface familiar, mas datada."
Evernote,features,Funcionalidades,7.1,10.0,71.0,3200,1.0,"Recursos robustos, web clipper excelente, OCR."
Evernote,collaboration,Colaboração,6.1,10.0,61.0,1500,1.0,"Colaboração básica, compartilhamento simples."
Evernote,performance,Performance,6.9,10.0,69.0,2500,1.0,"Estável, mas pode ser lento com muitos dados."
Evernote,price_value,Preço/Valor,5.8,10.0,58.0,3000,1.0,"Plano gratuito limitado, pricing alto para premium."
Evernote,mobile_experience,Experiência Mobile,7.8,10.0,78.0,2200,1.0,"Apps móveis maduros, boa funcionalidade."
Evernote,data_organization,Organização de Dados,7.4,10.0,74.0,2800,1.0,"Organização hierárquica, busca potente."
