id_projeto,nome_projeto,tipo_projeto,regiao,gerente,data_inicio,duracao_prevista,orcamento,complexidade,data_conclusao_prevista,status,progresso,atraso,data_conclusao_real,custo_adicional_pct,custo_real,satisfacao_cliente,area,eficiencia,qualidade
PROJ-0001,Projeto Industrial 001,Industrial,Oeste,Gerente A,2023-11-24,197,235230,Baixa,2024-06-08,Concluído,100,0,2024-06-08,8,254048.40000000002,7,1516,167.57810026385226,89
PROJ-0002,Projeto Infraestrutura 002,Infraestrutura,Leste,Gerente B,2023-02-27,359,1866616,Média,2024-02-21,Concluído,100,0,2024-02-21,3,1922614.48,9,9735,197.49506728299949,97
PROJ-0003,Projeto Residencial 003,Industrial,Norte,Gerente C,2023-01-13,72,906741,Média,2023-03-26,Atrasado,71,28,2023-04-23,18,1069954.38,5,481,2224.43738045738,98
PROJ-0004,Projeto Industrial 004,Residencial,Oeste,Gerente D,2024-01-15,73,369114,Média,2024-03-28,Concluído,100,0,2024-03-28,4,383878.56,9,78,4921.5199999999995,83
PROJ-0005,Projeto Industrial 005,Infraestrutura,Oeste,Gerente E,2023-05-21,314,1483194,Média,2024-03-30,Concluído,100,0,2024-03-30,1,1498025.94,9,6762,221.5359272404614,89
PROJ-0006,Projeto Infraestrutura 006,Residencial,Leste,Gerente F,2023-05-06,41,1104208,Média,2023-06-16,Concluído,100,0,2023-06-16,8,1192544.6400000001,8,84,14196.960000000001,80
PROJ-0007,Projeto Residencial 007,Infraestrutura,Norte,Gerente G,2023-04-25,124,1981548,Baixa,2023-08-27,Concluído,100,0,2023-08-27,7,2120256.3600000003,7,4793,442.36519090340084,97
PROJ-0008,Projeto Residencial 008,Infraestrutura,Leste,Gerente H,2023-03-13,331,251456,Média,2024-02-07,Concluído,100,0,2024-02-07,2,256485.12,9,5678,45.171736526946106,84
PROJ-0009,Projeto Industrial 009,Comercial,Norte,Gerente I,2024-01-13,282,1953025,Média,2024-10-21,Concluído,100,0,2024-10-21,8,2109267.0,7,936,2253.4903846153848,94
PROJ-0010,Projeto Comercial 010,Residencial,Centro,Gerente J,2023-02-22,271,962312,Média,2023-11-20,Atrasado,72,44,2024-01-03,7,1029673.8400000001,4,210,4903.2087619047625,96
PROJ-0011,Projeto Industrial 011,Industrial,Sul,Gerente K,2023-12-13,64,1254146,Baixa,2024-02-15,Concluído,100,0,2024-02-15,8,1354477.6800000002,8,1208,1121.256357615894,82
PROJ-0012,Projeto Industrial 012,Industrial,Sul,Gerente L,2024-01-15,244,370846,Alta,2024-09-15,Concluído,100,0,2024-09-15,1,374554.46,9,1429,262.10948915325406,81
PROJ-0013,Projeto Industrial 013,Residencial,Sul,Gerente M,2024-04-01,119,100404,Média,2024-07-29,Concluído,100,0,2024-07-29,9,109440.36000000002,7,61,1794.1042622950822,81
PROJ-0014,Projeto Industrial 014,Industrial,Leste,Gerente N,2023-10-07,293,1058447,Alta,2024-07-26,Atrasado,74,18,2024-08-13,13,1196045.1099999999,5,4785,249.95718077324972,70
PROJ-0015,Projeto Infraestrutura 015,Industrial,Centro,Gerente O,2023-02-14,122,803286,Alta,2023-06-16,Concluído,100,0,2023-06-16,7,859516.02,6,475,1809.5074105263159,92
PROJ-0016,Projeto Residencial 016,Residencial,Norte,Gerente A,2023-10-30,119,1423483,Média,2024-02-26,Concluído,100,0,2024-02-26,8,1537361.6400000001,8,230,6684.181043478261,100
PROJ-0017,Projeto Infraestrutura 017,Infraestrutura,Oeste,Gerente B,2023-08-05,144,1822320,Baixa,2023-12-27,Concluído,100,0,2023-12-27,4,1895212.8,8,2789,679.5313015417713,96
