resource_id,project_id,resource_type,resource_name,allocated_quantity,used_quantity,cost_per_unit,total_cost,date,efficiency_score
RES_0000,PROJ_020,Materials,Electrical,41,42.66,262,11176.56,2024-08-13,0.83
RES_0001,PROJ_025,Labor,Carpenter,4,3.71,207,768.4,2024-07-13,0.84
RES_0002,PROJ_015,Labor,Engineer,11,11.56,276,3190.68,2024-05-08,0.97
RES_0003,PROJ_009,Materials,Insulation,48,39.24,225,8828.32,2024-04-06,0.96
RES_0004,PROJ_025,Equipment,Mixer,3,2.7,705,1904.78,2024-08-03,0.84
RES_0005,PROJ_008,Labor,Carpenter,3,2.21,292,646.13,2024-08-12,0.93
RES_0006,PROJ_019,Equipment,Crane,2,1.63,774,1261.03,2024-08-22,0.97
RES_0007,PROJ_017,Labor,Carpenter,12,9.01,420,3784.15,2024-04-14,0.95
RES_0008,PROJ_012,Equipment,Mixer,1,0.78,973,756.75,2024-04-17,0.94
RES_0009,PROJ_008,Equipment,Crane,2,1.66,835,1384.73,2024-06-03,0.88
RES_0010,PROJ_019,Labor,Engineer,10,9.75,378,3687.01,2024-06-26,0.83
RES_0011,PROJ_001,Materials,Steel,57,44.07,145,6390.05,2024-04-12,0.99
RES_0012,PROJ_007,Materials,Electrical,76,60.73,71,4311.9,2024-02-08,0.83
RES_0013,PROJ_022,Equipment,Pump,1,0.74,419,309.08,2024-08-11,0.94
RES_0014,PROJ_012,Labor,Engineer,8,6.71,490,3287.01,2024-03-24,0.81
RES_0015,PROJ_022,Equipment,Mixer,3,2.12,379,802.86,2024-06-29,0.9
RES_0016,PROJ_001,Equipment,Pump,4,2.91,715,2082.73,2024-04-13,0.81
RES_0017,PROJ_020,Labor,Supervisor,2,2.05,182,372.91,2024-07-20,0.99
RES_0018,PROJ_003,Equipment,Excavator,2,1.57,367,574.48,2024-02-12,0.81
RES_0019,PROJ_014,Labor,Plumber,4,3.34,391,1305.35,2024-05-27,0.86
RES_0020,PROJ_010,Labor,Carpenter,10,8.98,264,2371.82,2024-07-06,0.94
RES_0021,PROJ_013,Materials,Electrical,45,39.02,169,6594.89,2024-06-12,0.84
RES_0022,PROJ_009,Materials,Concrete,45,38.2,148,5653.06,2024-04-04,0.97
RES_0023,PROJ_005,Equipment,Pump,1,0.8,478,380.15,2024-02-06,0.98
RES_0024,PROJ_020,Equipment,Generator,3,2.22,596,1323.11,2024-06-19,0.99
RES_0025,PROJ_019,Equipment,Mixer,3,3.24,917,2971.75,2024-09-16,0.9
RES_0026,PROJ_016,Equipment,Pump,4,3.33,298,991.11,2024-08-31,0.95
RES_0027,PROJ_023,Equipment,Pump,2,2.18,892,1944.02,2024-05-27,0.91
RES_0028,PROJ_005,Materials,Electrical,84,62.73,284,17816.3,2024-03-23,0.94
RES_0029,PROJ_012,Equipment,Pump,3,2.61,429,1120.25,2024-04-10,0.81
RES_0030,PROJ_018,Materials,Steel,14,12.67,243,3079.93,2024-05-06,1.0
RES_0031,PROJ_016,Equipment,Excavator,4,3.18,541,1719.67,2024-08-17,1.0
RES_0032,PROJ_004,Labor,Electrician,13,12.0,424,5089.57,2024-07-23,0.98
RES_0033,PROJ_007,Labor,Supervisor,14,12.07,322,3886.26,2024-03-21,0.95
RES_0034,PROJ_008,Equipment,Excavator,3,2.8,200,560.01,2024-07-18,0.88
RES_0035,PROJ_017,Equipment,Excavator,2,2.04,316,645.17,2024-05-21,0.99
RES_0036,PROJ_015,Equipment,Generator,3,3.2,412,1319.61,2024-05-27,0.91
RES_0037,PROJ_020,Equipment,Crane,1,0.79,246,193.53,2024-06-22,0.89
RES_0038,PROJ_021,Labor,Carpenter,17,16.91,408,6900.21,2024-05-28,0.86
