id_projeto,nome_marco,tipo_marco,data_prevista,data_real,status_marco,atraso_marco
PROJ-0001,Iniciação - Projeto Industrial 001,Iniciação,2023-11-24,2023-11-30,Concluído,6
PROJ-0001,Planejamento - Projeto Industrial 001,Planejamento,2024-01-12,2024-01-14,Concluído,2
PROJ-0001,Execução - Projeto Industrial 001,Execução,2024-03-01,2024-03-08,Concluído,7
PROJ-0001,Monitoramento - Projeto Industrial 001,Monitoramento,2024-04-19,2024-04-19,Concluído,0
PROJ-0001,Encerramento - Projeto Industrial 001,Encerramento,2024-06-08,2024-06-12,Concluído,4
PROJ-0002,Iniciação - Projeto Infraestrutura 002,Iniciação,2023-02-27,2023-03-07,Concluído,8
PROJ-0002,Planejamento - Projeto Infraestrutura 002,Planejamento,2023-06-26,2023-06-27,Concluído,1
PROJ-0002,Execução - Projeto Infraestrutura 002,Execução,2023-10-24,,Atrasado,14
PROJ-0002,Monitoramento - Projeto Infraestrutura 002,Monitoramento,2024-02-21,,Atrasado,11
PROJ-0003,Iniciação - Projeto Residencial 003,Iniciação,2023-01-13,2023-01-18,Concluído,5
PROJ-0003,Planejamento - Projeto Residencial 003,Planejamento,2023-02-15,,Atrasado,10
PROJ-0003,Execução - Projeto Residencial 003,Execução,2023-03-20,2023-03-28,Concluído,8
PROJ-0003,Monitoramento - Projeto Residencial 003,Monitoramento,2023-04-23,2023-05-01,Concluído,8
PROJ-0004,Iniciação - Projeto Industrial 004,Iniciação,2024-01-15,2024-01-24,Concluído,9
PROJ-0004,Planejamento - Projeto Industrial 004,Planejamento,2024-02-20,2024-02-25,Concluído,5
PROJ-0004,Execução - Projeto Industrial 004,Execução,2024-03-28,2024-04-04,Concluído,7
PROJ-0005,Iniciação - Projeto Industrial 005,Iniciação,2023-05-21,2023-05-22,Concluído,1
PROJ-0005,Planejamento - Projeto Industrial 005,Planejamento,2023-10-25,2023-10-30,Concluído,5
PROJ-0005,Execução - Projeto Industrial 005,Execução,2024-03-30,2024-04-03,Concluído,4
PROJ-0006,Iniciação - Projeto Infraestrutura 006,Iniciação,2023-05-06,2023-05-06,Concluído,0
PROJ-0006,Planejamento - Projeto Infraestrutura 006,Planejamento,2023-05-19,2023-05-22,Concluído,3
PROJ-0006,Execução - Projeto Infraestrutura 006,Execução,2023-06-02,2023-06-11,Concluído,9
PROJ-0006,Monitoramento - Projeto Infraestrutura 006,Monitoramento,2023-06-16,2023-06-17,Concluído,1
PROJ-0007,Iniciação - Projeto Residencial 007,Iniciação,2023-04-25,2023-05-02,Concluído,7
PROJ-0007,Planejamento - Projeto Residencial 007,Planejamento,2023-06-26,2023-06-27,Concluído,1
PROJ-0007,Execução - Projeto Residencial 007,Execução,2023-08-27,2023-09-04,Concluído,8
PROJ-0008,Iniciação - Projeto Residencial 008,Iniciação,2023-03-13,2023-03-15,Concluído,2
PROJ-0008,Planejamento - Projeto Residencial 008,Planejamento,2023-07-01,2023-07-11,Concluído,10
PROJ-0008,Execução - Projeto Residencial 008,Execução,2023-10-19,2023-10-26,Concluído,7
PROJ-0008,Monitoramento - Projeto Residencial 008,Monitoramento,2024-02-07,2024-02-15,Concluído,8
PROJ-0009,Iniciação - Projeto Industrial 009,Iniciação,2024-01-13,2024-01-17,Concluído,4
PROJ-0009,Planejamento - Projeto Industrial 009,Planejamento,2024-04-16,2024-04-24,Concluído,8
PROJ-0009,Execução - Projeto Industrial 009,Execução,2024-07-19,2024-07-28,Concluído,9
PROJ-0009,Monitoramento - Projeto Industrial 009,Monitoramento,2024-10-21,2024-10-27,Concluído,6
PROJ-0010,Iniciação - Projeto Comercial 010,Iniciação,2023-02-22,2023-03-02,Concluído,8
PROJ-0010,Planejamento - Projeto Comercial 010,Planejamento,2023-06-07,2023-06-10,Concluído,3
PROJ-0010,Execução - Projeto Comercial 010,Execução,2023-09-20,2023-09-24,Concluído,4
PROJ-0010,Monitoramento - Projeto Comercial 010,Monitoramento,2024-01-03,,Atrasado,17
PROJ-0011,Iniciação - Projeto Industrial 011,Iniciação,2023-12-13,2023-12-20,Concluído,7
PROJ-0011,Planejamento - Projeto Industrial 011,Planejamento,2023-12-29,2024-01-06,Concluído,8
PROJ-0011,Execução - Projeto Industrial 011,Execução,2024-01-14,2024-01-21,Concluído,7
PROJ-0011,Monitoramento - Projeto Industrial 011,Monitoramento,2024-01-30,2024-01-31,Concluído,1
PROJ-0011,Encerramento - Projeto Industrial 011,Encerramento,2024-02-15,2024-02-18,Concluído,3
PROJ-0012,Iniciação - Projeto Industrial 012,Iniciação,2024-01-15,2024-01-16,Concluído,1
PROJ-0012,Planejamento - Projeto Industrial 012,Planejamento,2024-04-05,2024-04-10,Concluído,5
PROJ-0012,Execução - Projeto Industrial 012,Execução,2024-06-25,2024-06-25,Concluído,0
PROJ-0012,Monitoramento - Projeto Industrial 012,Monitoramento,2024-09-15,2024-09-24,Concluído,9
PROJ-0013,Iniciação - Projeto Industrial 013,Iniciação,2024-04-01,,Atrasado,12
PROJ-0013,Planejamento - Projeto Industrial 013,Planejamento,2024-05-10,2024-05-10,Concluído,0
PROJ-0013,Execução - Projeto Industrial 013,Execução,2024-06-19,2024-06-20,Concluído,1
PROJ-0013,Monitoramento - Projeto Industrial 013,Monitoramento,2024-07-29,2024-08-08,Concluído,10
PROJ-0014,Iniciação - Projeto Industrial 014,Iniciação,2023-10-07,2023-10-10,Concluído,3
PROJ-0014,Planejamento - Projeto Industrial 014,Planejamento,2024-03-10,2024-03-11,Concluído,1
PROJ-0014,Execução - Projeto Industrial 014,Execução,2024-08-13,2024-08-13,Concluído,0
PROJ-0015,Iniciação - Projeto Infraestrutura 015,Iniciação,2023-02-14,2023-02-15,Concluído,1
PROJ-0015,Planejamento - Projeto Infraestrutura 015,Planejamento,2023-03-16,2023-03-24,Concluído,8
PROJ-0015,Execução - Projeto Infraestrutura 015,Execução,2023-04-16,2023-04-19,Concluído,3
PROJ-0015,Monitoramento - Projeto Infraestrutura 015,Monitoramento,2023-05-16,,Atrasado,13
PROJ-0015,Encerramento - Projeto Infraestrutura 015,Encerramento,2023-06-16,2023-06-26,Concluído,10
PROJ-0016,Iniciação - Projeto Residencial 016,Iniciação,2023-10-30,2023-11-02,Concluído,3
PROJ-0016,Planejamento - Projeto Residencial 016,Planejamento,2023-11-22,2023-11-30,Concluído,8
PROJ-0016,Execução - Projeto Residencial 016,Execução,2023-12-16,2023-12-18,Concluído,2
